Description,SalesDollars,SalesPrice,ProfitMargin
(RI) 1,21519.09,36.39601503759398,0.6275185825767627
.nparalleled Svgn Blanc,1094.63,7.99,0.13775885820492795
10 Span Cab Svgn CC,2703.89,7.489999999999999,0.12913815368647186
10 Span Chard CC,3325.56,7.49,0.12913815368647188
10 Span Pnt Gris Monterey Cy,2082.22,7.49,0.12913815368647188
10 Span Pnt Nr CC,2441.74,7.49,0.12913815368647188
1000 Stories Znfdl,1918.8,15.99,0.275690130500225
12 Days of Pearls Gift Set,309.69,9.99,0.17224167627875223
13 Celsius Svgn Bl,34041.23,10.912237288135595,0.18814234659259058
13th Colony Sthrn Corn Whsky,359.82,26.99,0.4653456299062585
14 Hands Cab Svgn Wash,273570.44,10.052533858655504,0.17331984811448822
14 Hands Chard Wash,58250.47,10.029930167597765,0.17293012863121773
14 Hands Hot to Trot Red,168780.04,9.053875743939614,0.15610157507064001
14 Hands Hot to Trot White,16198.86,9.491943005181346,0.16365447190738858
14 Hands Merlot Wash,148235.97,10.001891891891892,0.17244670925108307
14 Hands Moscato,798.15,9.365,0.16146579563068214
14 Hands Pinot Grigio,40353.49,9.300178571428571,0.16034818286632516
14 Hands Red Blend Ltd,9570.42,9.99,0.17224167627875223
14 Hands Red Blend Stampede,25884.53,10.172209469153515,0.17538322426682657
14 Hands Rsl Wash,531.48,10.297692307692309,0.17754672521318673
14 Hands Svgn Bl,16640.6,9.282083712465878,0.16003620200148413
1792 Full Proof Bourbon,3576.21,45.3025,0.781078932894712
1792 Port Finish Bourbon,6998.25,39.99,0.6894839473861163
1792 Single Barrel Bourbon,2445.3900000000003,40.08615384615385,0.691141775178127
1792 Sweet Wheat Bourbon,3170.11,35.531666666666666,0.6126159987632163
1800 Anejo Tequila,30316.780000000002,41.99,0.7239667654599405
1800 Coconut Tequila,213261.56999999998,17.329729237177816,0.298788950277118
1800 Raspberry Margarita RTD,35943.479999999996,17.51252858103564,0.30194066853624985
1800 Reposado Gold Tequila,511933.9,21.07215064180189,0.3633135685027369
1800 Select Silver Tequila,2129.29,29.99,0.5170698570169948
1800 Silver Tequila,720189.79,22.381750422927652,0.3858929140037768
1800 Silver w/ Shot Glasses,31476.899999999998,22.33994206257242,0.3851720789617296
1800 Ultimate Margarita RTD,149258.31999999998,19.759379097570378,0.3406795373366226
1800 Ultimate Peach Margrita,46049.719999999994,18.958594217347954,0.32687287766613315
19 Crimes Cab Svgn,63682.42,10.358071689346167,0.17858775082967673
19 Crimes Red,195851.1,9.941545406266597,0.1714062508084772
19 Crimes The Banished Red,38.97,12.99,0.22396590338948863
19 Crimes Warden Red,2823.87,24.99,0.4308628118324342
2 Copas Spain Red,9.99,9.99,0.17224167627875223
2 Copas Spain White,119.88,9.99,0.17224167627875223
2 Gingers Irish Whiskey,321.86,22.99,0.39637999375860994
20 Mile 09 Brdx Superior,1949.48,37.49,0.646380424793836
24 Knots Pnt Nr,9393.62,14.742032520325203,0.25417341271838756
260 Vodka,9740.52,27.990000000000002,0.4825870389431707
3 Ball Znfdl,14312.4,13.480076335877865,0.23241550995567
3 Blind Moose Cab Svgn Cal,6344.47,9.730331491712708,0.1677646253133662
3 Blind Moose Chard Cal,6058.73,9.649846547314578,0.1663769514656849
3 Blind Moose Merlot Cal,6951.85,9.753636363636364,0.16816643414275478
3 Blind Moose Pnt Grigio Cal,7285.51,9.767777777777779,0.1684102520483273
3 Brooms Svgn Bl Marlborough,25206.93,14.786610169491524,0.254941994201568
360 Double Chocolate Vodka,27094.62,13.369468377635197,0.23050847290487048
360 Glazed Donut Vodka,103.92,12.99,0.22396590338948863
4 Orange Vodka,483.78,21.99,0.3791385847216978
42 Below Pure Vodka,94.94999999999999,18.99,0.3274143576109614
44* North Huckleberry Vodka,1057.03,22.49,0.38775928924015385
44* North Magic Valley Vodka,1349.4,22.49,0.38775928924015385
6 Degrees Chard,59.95,11.99,0.20672449435257648
8000 Generations Shochu,354.88,29.535454545454545,0.5092328529093075
900 Grapes Svgn Bl,59.94,9.99,0.17224167627875223
99 Apples Schnapps Liqueur,46523.37,13.441567453328638,0.23175156256008436
99 Bananas,70779.07,13.37856564634455,0.23066532263580714
99 Blackberries,31603.74,3.6432700948577135,0.0628151099373915
A Bichot Adelie Mercury,815.76,33.99,0.5860354931646434
A Bichot Ch Gris Nuits 13 Ge,1119.86,79.99,1.3791403088626015
A Bichot Ch Gris Nuits St Ge,648.89,58.99,1.0170707190874468
A Bichot Chablis 14 Les Vauc,959.76,39.99,0.6894839473861163
A Bichot Chablis Les Clos 14,1119.84,69.99,1.2067262184934802
A Bichot Chablis Long Depaqt,13133.609999999999,17.79128205128205,0.306746771137227
A Bichot Chablis Vaucopins,1623.44,28.99,0.4998284479800827
A Bichot Champs Martin,245.94,40.99,0.7067253564230284
A Bichot Chard Bourgogne,7452.2300000000005,15.65966966966967,0.2699947701577015
A Bichot Clos Marechaudes,539.94,89.99,1.551554399231723
A Bichot Cremant Brut Rose,3402.27,19.73545454545454,0.34026704434756855
A Bichot Fixin Pnt Nr,2831.0299999999997,29.19967741935484,0.5034435821329837
A Bichot Macon-Villages,3372.32,12.66484662576687,0.21835980106460307
A Bichot Merc Champs M,515.88,42.99,0.7412081744968526
A Bichot Merc Champs Mart 14,959.76,39.99,0.6894839473861163
A Bichot Montagny 1er Cru 14,989.7,32.99,0.5687940841277314
A Bichot Morey St Denis 14 S,1021.86,72.99,1.2584504456042165
A Bichot Morgon Les Charmes,9209.119999999999,18.836153846153845,0.3247618331437442
A Bichot Petit Chablis,8693.33,8.99,0.1550002672418401
A Bichot Pnt Nr Bourgogne,13745.23,15.689551569506726,0.2705099762155922
A Bichot Pouilly-Fuisse,11751.31,20.697124010554088,0.3568475809536583
A Bichot Rochegres 14 Moulin,183.96,45.99,0.792932401607589
A Bichot Savigny Beaune,244.95000000000002,48.99,0.8446566287183254
A Bichot Secret de Fam PN,99.94999999999999,19.99,0.3446557666478735
A Bichot St-Amour Champlette,6804.389999999999,18.872096069868995,0.32538152772451323
A Innocenti Nonni Cab Svgn,623.52,12.99,0.22396590338948863
A Portela Mencia,458.72999999999996,16.99,0.29293153953713713
A Proper Claret,45443.73,10.44700824499411,0.180121142363937
A Proper Pink,4442.58,12.99,0.22396590338948863
A by Acacia Chard Cal,30791.04,9.957940813810112,0.17168893073626182
A by Acacia Pnt Nr Cal,47345.5,14.936856772521063,0.2575324573408068
A by Acacia Red Cal,143.88,11.99,0.20672449435257648
A by Acacia Unoaked Chard Ca,31888.61,10.158284789644014,0.17514314317169538
A la Carte White,374.75,14.99,0.2584487214633129
A to Z Ore Chard,51823.43,13.98984674329502,0.24120467006486251
A to Z Pnt Gris Ore,121242.67,13.554063586686537,0.23369115441037894
A to Z Pnt Nr Ore,224192.78,16.800976468408376,0.28967250751136425
A to Z Rose,798.53,16.99,0.29293153953713713
A to Z Rsl,1002.41,16.99,0.29293153953713713
Aalto Ribera Del Duero Red,49.99,49.99,0.8618980377552377
Abadia de la Oliva Blanca,203.88,16.99,0.29293153953713713
Aberfeldy 12 Yr Single Malt,42761.19,48.6044578313253,0.8380093384872268
Aberfeldy 21 Yr Single Malt,2879.82,159.99,2.758453031815572
Aberfeldy Single Cask,9459.62,248.08523809523808,4.277339066019737
Aberlour 16 Year Old Single,103249.72,59.76045619116582,1.030354469424358
Aberlour A'Bunadh Sngle Malt,63976.259999999995,73.4341489361702,1.2661081990860366
Aberlour Glenlivet 12 Yr,143989.54,41.78325676176362,0.7204022207238913
Abraham Bowman Ltd Edition,279.96,69.99,1.2067262184934802
Absente  Glass & Spoon Pack,11498.41,11.99,0.20672449435257648
Absente 'Absinthe Refined',61679.12,36.59699865410498,0.6309838233187468
Absinthe Ordinaire,44666.75,24.506966067864273,0.42253462622977406
Absolut 80 Proof,6244752.03,15.996582827151029,0.2758036277157552
Absolut Apeach,80236.70999999999,17.72094688221709,0.3055340937176976
Absolut Berri Acai,45908.96,17.66367880964597,0.30454671145374335
Absolut Cilantro,4164.72,18.139999999999997,0.3127591599295861
Absolut Citron,1028260.25,16.432196723486104,0.2833142250846313
Absolut Elyx,674.85,44.99,0.775690992570677
Absolut Grapevine Vodka,5672.1,14.556037735849056,0.2509666005605019
Absolut Hibiskus,153.93,21.99,0.3791385847216978
Absolut Mandrin,314932.26,13.06357731366162,0.2252344799501658
Absolut Mango,835.6200000000001,21.99,0.3791385847216978
Absolut Mini Bar 5/50mls,123563.28,7.187391522447956,0.12392075714695984
Absolut Orient Apple Vodka,119.94,19.99,0.3446557666478735
Absolut Pears,109752.68999999999,16.905837299870186,0.29148045599854805
Absolut Peppar,77049.45,17.709488188976376,0.305336529700506
Absolut Peppar Vodka,239.88,19.99,0.3446557666478735
Absolut Raspberri,128021.57999999999,17.684580353782458,0.3049070835257036
Absolut Ruby Red,299239.07,21.995526036131775,0.37923386137099846
Absolut Spark Vodka,24800.019999999997,17.8158064516129,0.30716960635471613
Absolut Vanilia,140681.88,9.65997732915902,0.16655162041932867
Absolut Wild Tea,901.88,14.587222222222222,0.2515042650456677
Acacia Winery Chard Carneros,287.88,23.99,0.41362140279552206
Acacia Winery Pnt Nr Carnero,447.84,27.99,0.4825870389431706
Acacia Winery Pnt Nr Lake,287.90999999999997,31.99,0.5515526750908192
Achaia Cellars Retsina,199.29,9.49,0.16362097176029614
Achaval Ferrer Cab Svgn,229.89999999999998,22.99,0.39637999375860994
Achaval Ferrer Malbec,41945.509999999995,19.58852820932134,0.33773382728800116
Achaval Ferrer Quimera,29358.23,22.99,0.39637999375860994
Acorn Alegria Vyds Cab Franc,2944.94,27.847142857142856,0.480123980509326
Acorn Cve Alegria Russ Syrah,2780.0099999999998,27.72972602739726,0.47809954891986467
Acorn Dolcetto Alegria RRV,3023.0099999999998,30.288507462686567,0.5222165462817447
Acorn Medley Alegria RRV,1934.25,25.79,0.44465593906196393
