VendorNumber,VendorName,SalesQuantity,SalesDollars,Quantity,Dollars,Freight,EstimatedProfit
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",42.0,1265.58,328,5630.88,27.08,-4392.38
54,AAPER ALCOHOL & CHEMICAL CO,,,1,105.07,0.48,
60,ADAMBA IMPORTS INTL INC    ,3978.0,67576.22,4732,76770.25,367.52,-9561.55
105,ALTAMAR BRANDS LLC         ,325.0,15748.75,332,11706.199999999999,62.39,3980.160000000001
200,AMERICAN SPIRITS EXCHANGE  ,103.0,1719.97,132,1205.16,6.1899999999999995,508.61999999999995
287,APPOLO VINEYARDS LLC       ,108.0,1616.92,230,2399.7,12.280000000000001,-795.0599999999997
388,ATLANTIC IMPORTING COMPANY ,1825.0,59272.75,1847,41116.32,211.74,17944.69
480,BACARDI USA INC            ,1457301.0,25014556.89,1427075,17624378.72,89286.27,7300891.900000002
516,BANFI PRODUCTS CORP        ,221040.0,2646325.62,228103,1628866.68,8510.41,1008948.5300000001
653,STATE WINE & SPIRITS   ,157700.0,2299075.4,154092,1529682.04,8014.98,761378.3799999999
660,SAZERAC NORTH AMERICA INC. ,493413.0,4965061.47,503931,3537977.55,17932.33,1409151.5899999999
1003,BRONCO WINE COMPANY        ,334.0,2400.66,433,2071.9,10.53,318.2299999999998
1128,BROWN-FORMAN CORP          ,983853.0,18478557.47,1006122,13529433.08,68601.68,4880522.709999999
1189,BULLY BOY DISTILLERS       ,4447.0,119484.53,5382,117928.22,609.39,946.9199999999977
1265,BLACK ROCK SPIRITS LLC     ,82.0,2049.18,82,1152.1,5.79,891.29
1273,CALEDONIA SPIRITS INC      ,7162.0,278648.38,8202,259604.7,1319.77,17723.909999999993
1392,CONSTELLATION BRANDS INC   ,2301688.0,24469172.93,2325892,15573917.9,79528.99,8815726.04
1439,CAPSTONE INTERNATIONAL     ,13.0,246.86999999999998,4,54.64,0.27,191.95999999999995
1485,CASTLE BRANDS CORP.        ,103675.0,2307511.25,105220,1679383.91,8497.59,619629.7500000001
1587,VINEYARD BRANDS INC        ,166244.0,1845237.53,171919,1196162.81,6015.86,643058.86
1587,VINEYARD BRANDS LLC        ,166244.0,1845237.53,171919,10951.51,54.23,1834231.79
1587,VINEYARD BRANDS INC        ,104.0,4323.96,171919,1196162.81,6015.86,-1197854.7100000002
1587,VINEYARD BRANDS LLC        ,104.0,4323.96,171919,10951.51,54.23,-6681.78
1587,VINEYARD BRANDS INC        ,166244.0,1845237.53,371,1196162.81,6015.86,643058.86
1587,VINEYARD BRANDS LLC        ,166244.0,1845237.53,371,10951.51,54.23,1834231.79
1587,VINEYARD BRANDS INC        ,104.0,4323.96,371,1196162.81,6015.86,-1197854.7100000002
1587,VINEYARD BRANDS LLC        ,104.0,4323.96,371,10951.51,54.23,-6681.78
1590,DIAGEO CHATEAU ESTATE WINES,190779.0,2185030.89,187841,1365472.83,7259.75,812298.31
1601,VRANKEN AMERICA            ,13469.0,341658.31,13094,208330.15,1048.97,132279.19
1650,Circa Wines                ,2455.0,44618.75,3320,42554.340000000004,211.97,1852.4399999999962
1655,FABRIZIA SPIRITS LLC       ,25508.0,396503.92,28071,358390.62,1824.8899999999999,36288.40999999999
